Piece,Type,Key,Difficulty,Date,Ensemble
41. Queen Elizabeths Galliard,galliard,GM,4.0,1610,6-course
42b. Earl of Essex Galliard,galliard,Gm,3.0,1605,8-course
43a. The Lady Richs Galliard,galliard,GM,4.0,1610,8-course
43c. The Lady Richs Galliard,galliard,DM,3.0,1599,6-course
44a. Earl of Derbys galliard,galliard,GM,5.0,1610,8-course
44. Earl of Derbys Galliard,galliard,GM,5.0,1610,7-course
45. Lady Cliftons Spirit,galliard,Cm,3.0,1610,7-course
47. Sir John Smith his Allemande,allemande,FM,5.0,1610,7-course
50. Mistriss Whites Choyse,allemande,FM,3.0,1620,7-course
,allemande,GM,5.0,1600,7-course
54. My Lady Hunsdons Puffe,allemande,FM,4.0,1600,7-course
54. My Lady Hunsdons Puffe,allemande,FM,4.0,1600,7-course
57. Mrs. Vauxs Jig,gigue,Cm,3.0,1600,7-course
57. Mrs. Vauxs Jig,gigue,Cm,3.0,1600,8-course
58. The Shoemakers Wife,toy,FM,4.0,c.1595,7-course
,vocal intabulation,Dm,3.0,1600,8-course
63. Complaint,vocal intabulation,Gm,2.0,1600,6-course
65. Lord Strangs march,march,GM,3.0,1600,6-course
66c. Lord Willoughbys welcome home,vocal intabulation,Dm,3.0,c.1590,6-course
66. My Lord Willoughbys welcome home,vocal intabulation,Dm,2.0,1616,6-course
,galliard popular theme,BbM,3.0,1595,6-course
69. Loth to depart,vocal intabulation,GM,3.0,1600,7-course
70. Robin,vocal intabulation,Dm,3.0,1600,6-course
71. Fantasy 8,fantasia,Gm,6.0,1616,8-course
72. A Fancy,fantasia,Dm,5.0,c.1610,8-course
73. A fancy,fantasia,GM,5.0,1600,8-course
74. A fancy,fantasia,GM,6.0,1610,6-course
75. A Dream,pavane,Gm,4.0,c.1595,6-course
76. A galliard,galliard,Fm,4.0,c.1610,6-course
78. Untitled,jig,Cm,3.0,c.1610,6-course
79. What if a day,vocal intabulation variation,Cm,4.0,c.1590,6-course
84. Haselwoods Galliard,galliard,Dm,3.0,1600,6-course
89. Can she excuse galliard,galliard,Cm,4.0,1595,7-course
90. Frog Galliard,galliard,GM,4.0,1595,8-course
90. Frog Galliard,galliard,GM,4.0,1595,8-course
91. Suzannah Galliard,galliard,Dm,2.0,1600,6-course
,pavane,Cm,5.0,1619,9-course
99. Mr. Dowlands Midnight,vocal intabulation,Dm,3.0,1625,6-course
Sir Thomas Monson his galliard,galliard,Gm,4.0,1610,8-course
Adieu ces bons vins,vocal intabulation,Dm,2.0,1426,5-course
Ne je ne dors,vocal intabulation,CM,2.0,1509,5-course
There is no rose,lute song christmas,FM,2.0,1250,4-course alto
Letras a due para Navidades,christmas,EbM,3.0,1813,8-course viola 1:viola viola 2:viola
Letras a due para Navidades,christmas,EbM,3.0,1813,8-course viola 1:viola viola 2:viola
Letras a due para Navidades,christmas,FM,3.0,1813,8-course violin 1:violin violin 2:violin
Letras a due para Navidades,christmas,FM,3.0,1813,8-course violin 1:violin violin 2:violin
Intenerite voi,lute song madrigal,Gm,3.0,1607,6-course bass viol archlute soprano
Intenerite voi,lute song madrigal,Gm,3.0,1607,6-course bass viol archlute soprano
Intenerite voi,lute song madrigal,Gm,3.0,1607,6-course bass viol archlute soprano
Intenerite voi,lute song madrigal,Gm,3.0,1607,6-course bass viol archlute soprano
Ma che? Squalido,lament lute song,CM,2.0,1609,8-course 6-course bass viol alto
Ma che? Squalido,lament lute song,CM,2.0,1609,8-course 6-course bass viol alto
Ma che? Squalido,lament lute song,CM,2.0,1609,8-course 6-course bass viol alto
